data,estado,arrecadacao
2004-07-01,RO,30.970848
2004-07-01,RR,8.308032
2004-07-01,RS,1456.749109
2004-07-01,SC,544.308323
2004-07-01,SE,42.693951
2004-07-01,SP,10742.898286
2004-07-01,TO,16.927914
2004-08-01,AC,7.933575
2004-08-01,AL,31.94709
2004-08-01,AM,279.990842
2004-08-01,AP,19.07937
2004-08-01,BA,480.668321
2004-08-01,CE,177.844949
2004-08-01,DF,2229.177761
2004-08-01,ES,458.934411
2004-08-01,GO,198.623106
2004-08-01,MA,118.956397
2004-08-01,MG,1448.492748
2004-08-01,MS,66.684158
2004-08-01,MT,106.935267
2004-08-01,PA,123.814419
2004-08-01,PB,48.830734
2004-08-01,PE,322.288613
2004-08-01,PI,29.048087
2004-08-01,PR,1077.863362
2004-08-01,RJ,4730.301454
2004-08-01,RN,53.219908
2004-08-01,RO,40.013089
2004-08-01,RR,7.895542
2004-08-01,RS,1360.994644
2004-08-01,SC,512.498336
2004-08-01,SE,37.023863
2004-08-01,SP,10551.298568
2004-08-01,TO,14.066122
2004-09-01,AC,7.549078
2004-09-01,AL,30.792458
2004-09-01,AM,374.366181
2004-09-01,AP,9.940902
2004-09-01,BA,518.055682
2004-09-01,CE,199.66399
2004-09-01,DF,2437.631985
2004-09-01,ES,478.328257
2004-09-01,GO,159.982387
2004-09-01,MA,169.512848
2004-09-01,MG,1343.083249
2004-09-01,MS,79.297581
2004-09-01,MT,116.378844
2004-09-01,PA,153.97312
2004-09-01,PB,57.002605
2004-09-01,PE,353.677988
2004-09-01,PI,26.993253
2004-09-01,PR,1091.189438
2004-09-01,RJ,4859.895636
2004-09-01,RN,70.150885
2004-09-01,RO,25.801764
2004-09-01,RR,6.666904
2004-09-01,RS,1332.270883
2004-09-01,SC,556.971586
2004-09-01,SE,43.004587
2004-09-01,SP,10967.266734
2004-09-01,TO,15.007302
2004-10-01,AC,8.302411
2004-10-01,AL,38.700373
2004-10-01,AM,413.638654
2004-10-01,AP,9.310662
2004-10-01,BA,531.182317
2004-10-01,CE,248.116183
2004-10-01,DF,2219.341987
2004-10-01,ES,554.094815
2004-10-01,GO,204.749951
2004-10-01,MA,108.558107
2004-10-01,MG,1568.459738
2004-10-01,MS,72.946548
2004-10-01,MT,94.754026
2004-10-01,PA,125.554695
2004-10-01,PB,52.253339
2004-10-01,PE,348.887267
2004-10-01,PI,32.604238
2004-10-01,PR,1123.793013
2004-10-01,RJ,4726.60229
2004-10-01,RN,57.826824
2004-10-01,RO,28.560346
2004-10-01,RR,7.903312
2004-10-01,RS,1478.827447
2004-10-01,SC,626.87753
2004-10-01,SE,48.209888
2004-10-01,SP,11210.213347
2004-10-01,TO,17.748085
2004-11-01,AC,9.423434
2004-11-01,AL,35.295475
2004-11-01,AM,436.977169
2004-11-01,AP,10.091347
2004-11-01,BA,499.293179
2004-11-01,CE,230.583825
2004-11-01,DF,2399.378493
2004-11-01,ES,511.261539
2004-11-01,GO,191.649131
2004-11-01,MA,114.897032
2004-11-01,MG,1414.635985
2004-11-01,MS,65.337976
2004-11-01,MT,91.158704
2004-11-01,PA,118.207193
2004-11-01,PB,58.127511
2004-11-01,PE,319.378257
2004-11-01,PI,39.474404
2004-11-01,PR,1100.711975
2004-11-01,RJ,3855.175599
2004-11-01,RN,61.807078
2004-11-01,RO,27.051223
2004-11-01,RR,6.175662
2004-11-01,RS,1340.875469
2004-11-01,SC,530.116974
2004-11-01,SE,36.361624
2004-11-01,SP,10131.037098
2004-11-01,TO,16.616504
2004-12-01,AC,7.535885
2004-12-01,AL,29.69078
2004-12-01,AM,520.219197
2004-12-01,AP,7.318346
2004-12-01,BA,621.092824
2004-12-01,CE,249.230002
2004-12-01,DF,3825.610459
2004-12-01,ES,484.227413
2004-12-01,GO,191.228786
2004-12-01,MA,55.757256
2004-12-01,MG,1513.307764
2004-12-01,MS,65.732963
2004-12-01,MT,90.575833
2004-12-01,PA,145.101472
2004-12-01,PB,49.30539
2004-12-01,PE,358.366206
2004-12-01,PI,32.615412
2004-12-01,PR,1312.361049
2004-12-01,RJ,5468.878336
2004-12-01,RN,55.005387
2004-12-01,RO,23.254146
2004-12-01,RR,5.013453
2004-12-01,RS,1474.134247
2004-12-01,SC,612.257327
2004-12-01,SE,46.04587
2004-12-01,SP,13372.046663
2004-12-01,TO,16.598396
2005-01-01,AC,9.77833
2005-01-01,AL,49.122392
2005-01-01,AM,386.782438
2005-01-01,AP,18.232597
2005-01-01,BA,708.702504
2005-01-01,CE,248.547622
2005-01-01,DF,2294.427183
2005-01-01,ES,534.023338
2005-01-01,GO,245.4365
2005-01-01,MA,72.0733
2005-01-01,MG,1953.302816
2005-01-01,MS,74.313785
2005-01-01,MT,105.349118
2005-01-01,PA,158.897174
2005-01-01,PB,84.640712
2005-01-01,PE,383.451599
2005-01-01,PI,45.108467
2005-01-01,PR,1310.305747
2005-01-01,RJ,5037.803739
2005-01-01,RN,70.413521
2005-01-01,RO,35.161523
2005-01-01,RR,8.769625
2005-01-01,RS,1633.757936
2005-01-01,SC,716.329268
2005-01-01,SE,56.827869
2005-01-01,SP,13116.340291
2005-01-01,TO,24.648398
2005-02-01,AC,8.224531
2005-02-01,AL,36.271987
2005-02-01,AM,244.920284
2005-02-01,AP,9.131089
2005-02-01,BA,674.214184
2005-02-01,CE,190.969454
2005-02-01,DF,2397.709399
2005-02-01,ES,414.407024
2005-02-01,GO,169.334129
2005-02-01,MA,87.547038
2005-02-01,MG,1351.521613
2005-02-01,MS,48.22915
2005-02-01,MT,81.293141
2005-02-01,PA,119.007201
2005-02-01,PB,52.139855
2005-02-01,PE,317.28206
2005-02-01,PI,30.608014
2005-02-01,PR,905.702979
2005-02-01,RJ,5383.016509
2005-02-01,RN,53.225289
2005-02-01,RO,42.526583
2005-02-01,RR,5.383389
2005-02-01,RS,1280.95429
2005-02-01,SC,504.519021
2005-02-01,SE,41.02337
2005-02-01,SP,9873.310297
2005-02-01,TO,12.990816
2005-03-01,AC,7.642226
2005-03-01,AL,38.996026
2005-03-01,AM,334.33103
2005-03-01,AP,12.654063
2005-03-01,BA,625.883437
2005-03-01,CE,218.747473
2005-03-01,DF,2456.081549
2005-03-01,ES,523.72413
2005-03-01,GO,154.086937
2005-03-01,MA,121.623438
2005-03-01,MG,1656.912195
2005-03-01,MS,72.77527
2005-03-01,MT,79.99935
2005-03-01,PA,122.56298
2005-03-01,PB,65.119307
2005-03-01,PE,399.986855
2005-03-01,PI,29.243236
2005-03-01,PR,1150.083899
2005-03-01,RJ,4836.135229
2005-03-01,RN,49.110412
2005-03-01,RO,31.46677
2005-03-01,RR,6.70286
2005-03-01,RS,1323.218945
2005-03-01,SC,633.543512
2005-03-01,SE,55.390366
2005-03-01,SP,12100.241939
2005-03-01,TO,15.733722
2005-04-01,AC,10.537391
2005-04-01,AL,58.21098
2005-04-01,AM,327.768371
2005-04-01,AP,14.243927
2005-04-01,BA,674.887566
2005-04-01,CE,259.37248
2005-04-01,DF,2584.346907
2005-04-01,ES,567.36126
2005-04-01,GO,240.550698
2005-04-01,MA,119.372922
2005-04-01,MG,1826.698744
2005-04-01,MS,90.636938
2005-04-01,MT,115.89966
2005-04-01,PA,152.390284
2005-04-01,PB,78.984521
2005-04-01,PE,406.43206
2005-04-01,PI,40.360853
2005-04-01,PR,1251.893215
2005-04-01,RJ,6180.993196
2005-04-01,RN,83.783488
2005-04-01,RO,41.095524
2005-04-01,RR,11.148545
2005-04-01,RS,1670.978912
2005-04-01,SC,779.91883
2005-04-01,SE,62.577616
2005-04-01,SP,11861.361656
2005-04-01,TO,20.212399
2005-05-01,AC,10.133207
2005-05-01,AL,38.208453
2005-05-01,AM,316.447758
2005-05-01,AP,10.470253
2005-05-01,BA,584.02553
2005-05-01,CE,223.79899
2005-05-01,DF,2605.293614
2005-05-01,ES,530.438966
2005-05-01,GO,185.601713
2005-05-01,MA,120.320753
2005-05-01,MG,1476.762959
2005-05-01,MS,74.311042
2005-05-01,MT,98.645968
2005-05-01,PA,135.115016
2005-05-01,PB,64.195366
2005-05-01,PE,347.076496
2005-05-01,PI,32.889659
2005-05-01,PR,1088.920319
2005-05-01,RJ,5255.015925
2005-05-01,RN,61.285216
2005-05-01,RO,28.722253
2005-05-01,RR,7.861572
2005-05-01,RS,1261.174421
2005-05-01,SC,617.493612
2005-05-01,SE,50.351207
2005-05-01,SP,10899.271825
2005-05-01,TO,17.438304
2005-06-01,AC,8.733391
2005-06-01,AL,39.575848
2005-06-01,AM,364.254568
2005-06-01,AP,11.198822
2005-06-01,BA,538.95884
2005-06-01,CE,210.760647
2005-06-01,DF,3193.006866
2005-06-01,ES,486.545338
2005-06-01,GO,202.900956
2005-06-01,MA,134.755114
2005-06-01,MG,1562.835711
2005-06-01,MS,87.234506
2005-06-01,MT,87.724704
2005-06-01,PA,167.840824
2005-06-01,PB,63.992601
2005-06-01,PE,368.87429
2005-06-01,PI,35.046553
2005-06-01,PR,1251.415782
2005-06-01,RJ,6002.150049
2005-06-01,RN,60.530183
2005-06-01,RO,29.108594
2005-06-01,RR,7.6034
2005-06-01,RS,1273.678124
2005-06-01,SC,601.013385
2005-06-01,SE,53.09806
2005-06-01,SP,13963.844433
2005-06-01,TO,16.671093
2005-07-01,AC,11.341953
2005-07-01,AL,46.577606
2005-07-01,AM,315.601734
2005-07-01,AP,12.907275
2005-07-01,BA,592.29807
2005-07-01,CE,231.016966
2005-07-01,DF,3375.285323
2005-07-01,ES,606.525956
2005-07-01,GO,232.867716
2005-07-01,MA,125.966741
2005-07-01,MG,1650.568492
2005-07-01,MS,97.330444
2005-07-01,MT,111.915686
2005-07-01,PA,166.556458
2005-07-01,PB,82.770927
2005-07-01,PE,370.356329
2005-07-01,PI,40.389566
2005-07-01,PR,1230.119221
2005-07-01,RJ,4788.556449
2005-07-01,RN,71.495052
2005-07-01,RO,37.607731
2005-07-01,RR,9.459356
2005-07-01,RS,1457.582142
2005-07-01,SC,753.310289
2005-07-01,SE,54.893814
2005-07-01,SP,12633.094778
2005-07-01,TO,20.717869
2005-08-01,AC,11.359151
2005-08-01,AL,48.93348
2005-08-01,AM,367.996742
2005-08-01,AP,12.98914
2005-08-01,BA,587.059753
2005-08-01,CE,628.775608
2005-08-01,DF,2905.120759
2005-08-01,ES,564.64729
2005-08-01,GO,208.12394
2005-08-01,MA,140.976028
2005-08-01,MG,1485.660097
2005-08-01,MS,81.096787
2005-08-01,MT,89.351508
