data,PIB
2004-01-01,148261.16272027866
2004-02-01,148261.16272027866
2004-03-01,148261.16272027866
2004-04-01,160598.32016790833
2004-05-01,160598.32016790833
2004-06-01,160598.32016790833
2004-07-01,168417.43946473332
2004-08-01,168417.43946473332
2004-09-01,168417.43946473332
2004-10-01,175306.815301267
2004-11-01,175306.815301267
2004-12-01,175306.815301267
2005-01-01,166570.12087985734
2005-02-01,166570.12087985734
2005-03-01,166570.12087985734
2005-04-01,178519.1392900897
2005-05-01,178519.1392900897
2005-06-01,178519.1392900897
2005-07-01,184286.38505173635
2005-08-01,184286.38505173635
2005-09-01,184286.38505173635
2005-10-01,194152.52259831666
2005-11-01,194152.52259831666
2005-12-01,194152.52259831666
2006-01-01,184756.821871726
2006-02-01,184756.821871726
2006-03-01,184756.821871726
2006-04-01,193992.2854188507
2006-05-01,193992.2854188507
2006-06-01,193992.2854188507
2006-07-01,205949.23532158067
2006-08-01,205949.23532158067
2006-09-01,205949.23532158067
2006-10-01,218451.631384509
2006-11-01,218451.631384509
2006-12-01,218451.631384509
2007-01-01,210474.33502076936
2007-02-01,210474.33502076936
2007-03-01,210474.33502076936
2007-04-01,223551.56781009433
2007-05-01,223551.56781009433
2007-06-01,223551.56781009433
2007-07-01,230615.30793756768
2007-08-01,230615.30793756768
2007-09-01,230615.30793756768
2007-10-01,242113.10183156867
2007-11-01,242113.10183156867
2007-12-01,242113.10183156867
2008-01-01,237351.74965254767
2008-02-01,237351.74965254767
2008-03-01,237351.74965254767
2008-04-01,256508.386524708
2008-05-01,256508.386524708
2008-06-01,256508.386524708
2008-07-01,270867.5252711
2008-08-01,270867.5252711
2008-09-01,270867.5252711
2008-10-01,271873.36823831097
2008-11-01,271873.36823831097
2008-12-01,271873.36823831097
2009-01-01,252042.36344046367
2009-02-01,252042.36344046367
2009-03-01,252042.36344046367
2009-04-01,267859.1650664807
2009-05-01,267859.1650664807
2009-06-01,267859.1650664807
2009-07-01,284281.0830509993
2009-08-01,284281.0830509993
2009-09-01,284281.0830509993
2009-10-01,306830.5068687223
2009-11-01,306830.5068687223
2009-12-01,306830.5068687223
2010-01-01,295465.796037576
2010-02-01,295465.796037576
2010-03-01,295465.796037576
2010-04-01,314715.0126699877
2010-05-01,314715.0126699877
2010-06-01,314715.0126699877
2010-07-01,332644.9137263533
2010-08-01,332644.9137263533
2010-09-01,332644.9137263533
2010-10-01,352456.6108994167
2010-11-01,352456.6108994167
2010-12-01,352456.6108994167
2011-01-01,338843.5537639533
2011-02-01,338843.5537639533
2011-03-01,338843.5537639533
2011-04-01,362237.4122246867
2011-05-01,362237.4122246867
2011-06-01,362237.4122246867
2011-07-01,370778.07286363
2011-08-01,370778.07286363
2011-09-01,370778.07286363
2011-10-01,386934.9611477267
2011-11-01,386934.9611477267
2011-12-01,386934.9611477267
2012-01-01,376491.35741335334
2012-02-01,376491.35741335334
2012-03-01,376491.35741335334
2012-04-01,394375.19482571003
2012-05-01,394375.19482571003
2012-06-01,394375.19482571003
2012-07-01,410149.61271472997
2012-08-01,410149.61271472997
2012-09-01,410149.61271472997
2012-10-01,423903.83504620334
2012-11-01,423903.83504620334
2012-12-01,423903.83504620334
2013-01-01,413871.3382405767
2013-02-01,413871.3382405767
2013-03-01,413871.3382405767
2013-04-01,440860.07519323
2013-05-01,440860.07519323
2013-06-01,440860.07519323
2013-07-01,451377.9985020333
2013-08-01,451377.9985020333
2013-09-01,451377.9985020333
2013-10-01,471096.92139748996
2013-11-01,471096.92139748996
2013-12-01,471096.92139748996
2014-01-01,461993.1711993233
2014-02-01,461993.1711993233
2014-03-01,461993.1711993233
2014-04-01,474106.7958457766
2014-05-01,474106.7958457766
2014-06-01,474106.7958457766
2014-07-01,487375.2188519
2014-08-01,487375.2188519
2014-09-01,487375.2188519
2014-10-01,502842.48076966667
2014-11-01,502842.48076966667
2014-12-01,502842.48076966667
2015-01-01,485556.9174919233
2015-02-01,485556.9174919233
2015-03-01,485556.9174919233
2015-04-01,493326.97289779666
2015-05-01,493326.97289779666
2015-06-01,493326.97289779666
2015-07-01,502742.26819093333
2015-08-01,502742.26819093333
2015-09-01,502742.26819093333
2015-10-01,516969.5080860133
2015-11-01,516969.5080860133
2015-12-01,516969.5080860133
2016-01-01,500075.2390931567
2016-02-01,500075.2390931567
2016-03-01,500075.2390931567
2016-04-01,519663.83551519335
2016-05-01,519663.83551519335
2016-06-01,519663.83551519335
2016-07-01,525728.9058037633
2016-08-01,525728.9058037633
2016-09-01,525728.9058037633
2016-10-01,544308.0195878866
2016-11-01,544308.0195878866
2016-12-01,544308.0195878866
2017-01-01,528656.4715759967
2017-02-01,528656.4715759967
2017-03-01,528656.4715759967
2017-04-01,543645.4453835433
2017-05-01,543645.4453835433
2017-06-01,543645.4453835433
2017-07-01,549523.71281477
2017-08-01,549523.71281477
2017-09-01,549523.71281477
2017-10-01,573334.0368923533
2017-11-01,573334.0368923533
2017-12-01,573334.0368923533
2018-01-01,560289.1422478467
2018-02-01,560289.1422478467
2018-03-01,560289.1422478467
2018-04-01,577817.5670741299
2018-05-01,577817.5670741299
2018-06-01,577817.5670741299
2018-07-01,589445.6582412833
2018-08-01,589445.6582412833
2018-09-01,589445.6582412833
2018-10-01,607161.2991034066
2018-11-01,607161.2991034066
2018-12-01,607161.2991034066
2019-01-01,588544.48339718
2019-02-01,588544.48339718
2019-03-01,588544.48339718
2019-04-01,611455.4171388866
2019-05-01,611455.4171388866
2019-06-01,611455.4171388866
2019-07-01,628000.9454823401
2019-08-01,628000.9454823401
