data,indice_dez93,no_mes,3_meses,6_meses,no_ano,12_meses
2004-01-01,2246.43,0.76,1.63,3.07,0.76,7.71
2004-02-01,2260.13,0.61,1.9,3.34,1.37,6.69
2004-03-01,2270.75,0.47,1.85,3.03,1.85,5.89
2004-04-01,2279.15,0.37,1.46,3.11,2.23,5.26
2004-05-01,2290.77,0.51,1.36,3.28,2.75,5.15
2004-06-01,2307.03,0.71,1.6,3.48,3.48,6.06
2004-07-01,2328.02,0.91,2.14,3.63,4.42,6.81
2004-08-01,2344.08,0.69,2.33,3.71,5.14,7.18
2004-09-01,2351.82,0.33,1.94,3.57,5.49,6.7
2004-10-01,2362.17,0.44,1.47,3.64,5.95,6.86
2004-11-01,2378.47,0.69,1.47,3.83,6.68,7.24
2004-12-01,2398.92,0.86,2,3.98,7.6,7.6
2005-01-01,2412.83,0.58,2.14,3.64,0.58,7.41
2005-02-01,2427.07,0.59,2.04,3.54,1.17,7.39
2005-03-01,2441.87,0.61,1.79,3.83,1.79,7.54
2005-04-01,2463.11,0.87,2.08,4.27,2.68,8.07
2005-05-01,2475.18,0.49,1.98,4.07,3.18,8.05
2005-06-01,2474.68,-0.02,1.34,3.16,3.16,7.27
2005-07-01,2480.87,0.25,0.72,2.82,3.42,6.57
2005-08-01,2485.09,0.17,0.4,2.39,3.59,6.02
2005-09-01,2493.79,0.35,0.77,2.13,3.95,6.04
2005-10-01,2512.49,0.75,1.27,2,4.73,6.36
2005-11-01,2526.31,0.55,1.66,2.07,5.31,6.22
2005-12-01,2535.4,0.36,1.67,2.45,5.69,5.69
2006-01-01,2550.36,0.59,1.51,2.8,0.59,5.7
2006-02-01,2560.82,0.41,1.37,3.05,1,5.51
2006-03-01,2571.83,0.43,1.44,3.13,1.44,5.32
2006-04-01,2577.23,0.21,1.05,2.58,1.65,4.63
2006-05-01,2579.81,0.1,0.74,2.12,1.75,4.23
2006-06-01,2574.39,-0.21,0.1,1.54,1.54,4.03
2006-07-01,2579.28,0.19,0.08,1.13,1.73,3.97
2006-08-01,2580.57,0.05,0.03,0.77,1.78,3.84
2006-09-01,2585.99,0.21,0.45,0.55,2,3.7
2006-10-01,2594.52,0.33,0.59,0.67,2.33,3.26
2006-11-01,2602.56,0.31,0.85,0.88,2.65,3.02
2006-12-01,2615.05,0.48,1.12,1.58,3.14,3.14
2007-01-01,2626.56,0.44,1.23,1.83,0.44,2.99
2007-02-01,2638.12,0.44,1.37,2.23,0.88,3.02
2007-03-01,2647.88,0.37,1.26,2.39,1.26,2.96
2007-04-01,2654.5,0.25,1.06,2.31,1.51,3
2007-05-01,2661.93,0.28,0.9,2.28,1.79,3.18
2007-06-01,2669.38,0.28,0.81,2.08,2.08,3.69
2007-07-01,2675.79,0.24,0.8,1.87,2.32,3.74
2007-08-01,2688.37,0.47,0.99,1.9,2.8,4.18
2007-09-01,2693.21,0.18,0.89,1.71,2.99,4.15
2007-10-01,2701.29,0.3,0.95,1.76,3.3,4.12
2007-11-01,2711.55,0.38,0.86,1.86,3.69,4.19
2007-12-01,2731.62,0.74,1.43,2.33,4.46,4.46
2008-01-01,2746.37,0.54,1.67,2.64,0.54,4.56
2008-02-01,2759.83,0.49,1.78,2.66,1.03,4.61
2008-03-01,2773.08,0.48,1.52,2.97,1.52,4.73
2008-04-01,2788.33,0.55,1.53,3.22,2.08,5.04
2008-05-01,2810.36,0.79,1.83,3.64,2.88,5.58
2008-06-01,2831.16,0.74,2.09,3.64,3.64,6.06
2008-07-01,2846.16,0.53,2.07,3.63,4.19,6.37
2008-08-01,2854.13,0.28,1.56,3.42,4.48,6.17
2008-09-01,2861.55,0.26,1.07,3.19,4.76,6.25
2008-10-01,2874.43,0.45,0.99,3.09,5.23,6.41
2008-11-01,2884.78,0.36,1.07,2.65,5.61,6.39
2008-12-01,2892.86,0.28,1.09,2.18,5.9,5.9
2009-01-01,2906.74,0.48,1.12,2.13,0.48,5.84
2009-02-01,2922.73,0.55,1.32,2.4,1.03,5.9
2009-03-01,2928.57,0.2,1.23,2.34,1.23,5.61
2009-04-01,2942.63,0.48,1.23,2.37,1.72,5.53
2009-05-01,2956.46,0.47,1.15,2.48,2.2,5.2
2009-06-01,2967.1,0.36,1.32,2.57,2.57,4.8
2009-07-01,2974.22,0.24,1.07,2.32,2.81,4.5
2009-08-01,2978.68,0.15,0.75,1.91,2.97,4.36
2009-09-01,2985.83,0.24,0.63,1.96,3.21,4.34
2009-10-01,2994.19,0.28,0.67,1.75,3.5,4.17
2009-11-01,3006.47,0.41,0.93,1.69,3.93,4.22
2009-12-01,3017.59,0.37,1.06,1.7,4.31,4.31
2010-01-01,3040.22,0.75,1.54,2.22,0.75,4.59
2010-02-01,3063.93,0.78,1.91,2.86,1.54,4.83
2010-03-01,3079.86,0.52,2.06,3.15,2.06,5.17
2010-04-01,3097.42,0.57,1.88,3.45,2.65,5.26
2010-05-01,3110.74,0.43,1.53,3.47,3.09,5.22
2010-06-01,3110.74,0,1,3.09,3.09,4.84
